path,category,reason,width,height,mode,file_size_kb
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625774036.jpg,HEALTHY,exact_duplicate_of:1711625717546.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711625965666.jpg,HEALTHY,exact_duplicate_of:1711625942916.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626302104.jpg,HEALTHY,exact_duplicate_of:1711626251460.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626477755.jpg,HEALTHY,exact_duplicate_of:1711626461358.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626588992.jpg,HEALTHY,exact_duplicate_of:1711626568550.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626648725.jpg,HEALTHY,exact_duplicate_of:1711626534262.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626718138.jpg,HEALTHY,exact_duplicate_of:1711626700362.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626795862.jpg,HEALTHY,exact_duplicate_of:1711626746230.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626827962.jpg,HEALTHY,exact_duplicate_of:1711626804992.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626917891.jpg,HEALTHY,exact_duplicate_of:1711626846416.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626875527.jpg,HEALTHY,exact_duplicate_of:1711626931339.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711626895600.jpg,HEALTHY,exact_duplicate_of:1711626945315.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627156409.jpg,HEALTHY,exact_duplicate_of:1711627056484.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627235870.jpg,HEALTHY,exact_duplicate_of:1711627202543.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627254470.jpg,HEALTHY,exact_duplicate_of:1711627219050.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627320644.jpg,HEALTHY,exact_duplicate_of:1711627219050.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627336654.jpg,HEALTHY,exact_duplicate_of:1711627270517.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627352833.jpg,HEALTHY,exact_duplicate_of:1711627290070.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627314722.jpg,HEALTHY,exact_duplicate_of:1711627252473.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627388777.jpg,HEALTHY,exact_duplicate_of:1711627450556.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627488144.jpg,HEALTHY,exact_duplicate_of:1711627507451.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627617367.jpg,HEALTHY,exact_duplicate_of:1711627219050.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627624424.jpg,HEALTHY,exact_duplicate_of:1711627547963.jpg,,,,
/home/luno/Projects/yellowmaize/maize_dataset/HEALTHY/1711627667832.jpg,HEALTHY,exact_duplicate_of:1711627270517.jpg,,,,
